district,latitude,longitude,rainfall_mm,soil_moisture_pct,slope_angle_deg,historical_landslides,risk_label
Shillong,25.57658136128741,91.91282618252961,160.2,61.7,49.1,4,High
Shillong,25.585635119515544,91.93082341678432,27.7,70.4,20.5,1,Low
Shillong,25.577327777684165,91.88765557622025,218.9,54.1,43.4,3,High
Shillong,25.583987786179996,91.89934696580663,141.3,47.8,36.6,2,Moderate
Shillong,25.58120591263424,91.90358877668118,305.3,64.7,33.9,1,High
Shillong,25.57382071703042,91.91273141901908,188.0,47.5,30.9,6,Moderate
Shillong,25.599968489736995,91.85812521027154,180.0,77.4,34.0,0,Moderate
Shillong,25.5785056348273,91.90922810859392,38.0,36.5,39.1,5,Low
Shillong,25.55677496190306,91.90305346549846,90.4,41.0,21.0,2,Low
Shillong,25.56819484763255,91.87744254335475,192.4,57.5,29.6,1,Moderate
Shillong,25.589091779813813,91.91739270145152,104.2,48.6,38.0,1,Low
Shillong,25.611699354270026,91.88831927920887,205.7,53.6,33.3,3,Moderate
Shillong,25.563672985094314,91.86485492580805,171.9,64.7,29.7,2,Moderate
Shillong,25.62628658806985,91.91359065385375,65.5,48.0,39.2,3,Moderate
Shillong,25.565787148617563,91.8835574923247,78.9,80.0,30.5,5,Moderate
Shillong,25.567264573388634,91.90840782451652,68.9,50.6,17.5,2,Low
Shillong,25.56353481686915,91.85720235798671,163.2,49.3,53.8,2,High
Shillong,25.565763277843956,91.89424797342633,22.1,61.6,25.3,2,Low
Shillong,25.59034144254361,91.88923909227914,53.3,56.4,32.7,4,Moderate
Shillong,25.572430429786994,91.88691885957867,149.1,53.8,41.4,3,Moderate
Shillong,25.541384161579483,91.88626973031917,168.1,73.4,44.5,3,Moderate
Shillong,25.58210388760241,91.90467873348939,115.0,81.1,35.6,3,Moderate
Shillong,25.595406716330885,91.87617832348182,52.6,56.2,42.6,3,Moderate
Shillong,25.604539499276992,91.88440724883509,119.7,55.3,34.7,3,Moderate
Shillong,25.543225595021916,91.92322088622979,79.8,54.4,44.5,3,Moderate
Shillong,25.61444327237072,91.90510549238124,181.0,60.3,38.9,1,High
Shillong,25.579914498245774,91.91518383036941,133.5,66.3,52.6,5,High
Shillong,25.5585579124948,91.86020286656269,20.2,79.4,46.1,0,Moderate
Shillong,25.573885138718282,91.88784552860504,202.0,61.9,47.7,2,Moderate
Shillong,25.589133386172964,91.8773177885835,108.6,83.2,46.5,0,Moderate
Shillong,25.57591279176152,91.88182675986239,99.5,91.9,38.0,1,Moderate
Shillong,25.525612972859015,91.85173246690162,71.8,91.8,28.6,1,Moderate
Shillong,25.57740820354174,91.90300631993121,35.6,56.9,34.5,4,Moderate
Shillong,25.576193097080257,91.90330955038841,58.1,69.7,28.5,0,Moderate
Shillong,25.572609071213723,91.89982266044484,43.7,58.1,34.5,5,Moderate
Shillong,25.61389588363969,91.85166141184231,35.2,46.1,31.0,2,Low
Shillong,25.54459663214687,91.86633629155789,337.0,72.7,37.3,2,High
Shillong,25.58983727310619,91.9334114809128,191.9,45.5,38.3,1,Moderate
Shillong,25.53140557181031,91.88633973827406,188.7,64.1,45.4,4,High
Shillong,25.63144764129675,91.90316635801761,131.7,53.7,26.2,3,Moderate
Shillong,25.57687880200551,91.91628546652571,130.3,68.3,25.3,0,Moderate
Shillong,25.589451902187413,91.87154438129477,62.1,63.2,34.8,3,Moderate
Shillong,25.552093112825798,91.90090395702012,216.1,52.3,35.5,3,Moderate
Shillong,25.58147695308492,91.90223279463034,175.8,76.4,46.0,3,High
Shillong,25.588820666870348,91.87245030251546,95.6,60.5,43.0,4,Moderate
Shillong,25.60010960750131,91.882954230998,266.6,58.8,34.0,5,High
Shillong,25.562704261666795,91.87317768213833,287.5,72.0,40.0,5,High
Shillong,25.562288303139653,91.93949445510812,43.8,60.6,39.4,2,Moderate
Shillong,25.567690457616795,91.88055225745387,64.5,63.0,41.4,3,Moderate
Shillong,25.548485117700057,91.9242501040266,253.0,56.5,28.1,4,High
Shillong,25.580894705972764,91.85832906030085,355.4,56.6,42.2,5,High
Shillong,25.58327575903278,91.89297154207854,34.9,60.6,51.9,1,Moderate
Shillong,25.584911086407548,91.91195993285301,252.9,75.5,40.2,3,High
Shillong,25.562128820254415,91.87950919357839,154.5,70.8,41.6,4,Moderate
Shillong,25.549012138807015,91.89379284196856,162.6,61.3,47.7,0,Moderate
Shillong,25.58438043051541,91.90545793019433,121.4,68.7,54.8,3,Moderate
Shillong,25.58229278538736,91.85710082198038,130.5,63.1,40.8,1,Moderate
Shillong,25.57748499477854,91.88219600946613,220.9,54.3,40.5,1,High
Shillong,25.605010876493846,91.88885174443088,371.7,46.2,36.1,3,High
Shillong,25.585841107930285,91.86826921151619,39.5,83.2,28.9,3,Moderate
Shillong,25.59298007515177,91.89150528611425,293.2,67.1,37.3,6,High
Shillong,25.565178966850503,91.91011287097977,292.6,65.5,31.4,2,High
Shillong,25.568882676439856,91.9137704304493,65.2,57.7,37.3,1,Moderate
Shillong,25.578347938211106,91.90379777557328,41.9,49.4,37.1,2,Moderate
Shillong,25.57317799414228,91.92925373053698,352.7,63.5,21.2,1,High
Shillong,25.56586126444589,91.90726446627227,179.4,55.1,33.9,2,Moderate
Shillong,25.58275199209385,91.9348052174525,151.5,54.0,46.2,2,Moderate
Shillong,25.569122283318915,91.8868930538361,63.0,56.6,39.1,0,Moderate
Shillong,25.590085547760538,91.88325488567611,154.8,48.6,33.3,5,Moderate
Shillong,25.599741966052243,91.92697855382916,132.9,57.9,24.2,5,Moderate
Shillong,25.58671607066875,91.90318060372564,77.6,41.4,32.9,4,Low
Shillong,25.583503996577097,91.87018863903788,137.8,64.9,35.2,3,Moderate
Shillong,25.55314015551623,91.91322533638893,143.7,45.5,46.8,3,Moderate
Shillong,25.62033495967122,91.90093870904462,75.3,68.8,26.4,2,Moderate
Shillong,25.565049130973208,91.8906816805446,155.4,57.4,40.5,1,Moderate
Shillong,25.587850697836426,91.89062840317389,44.6,61.9,21.5,0,Low
Shillong,25.55800188145749,91.90555547810125,237.9,86.1,36.4,1,High
Shillong,25.618868145343644,91.91255931058228,43.7,64.3,32.3,3,Moderate
Shillong,25.584732566393523,91.91340285146556,142.5,74.3,47.0,2,Moderate
Shillong,25.606314136266235,91.89029888825935,92.6,80.4,41.1,5,Moderate
Shillong,25.566780520739933,91.89669387584703,124.7,45.7,24.4,3,Low
Shillong,25.548144082954753,91.92220769379165,62.3,52.7,55.5,4,Moderate
Shillong,25.584423828479387,91.89538402207903,16.8,77.6,42.0,3,Moderate
Shillong,25.55911455249415,91.91271801463868,107.9,58.7,41.9,1,Moderate
Shillong,25.559433110902727,91.89540751012292,67.3,72.0,24.9,3,Moderate
Shillong,25.570211889177497,91.89574595006064,31.9,62.9,30.0,4,Moderate
Shillong,25.564941896044083,91.87893185468862,168.0,57.6,40.7,2,Moderate
Shillong,25.554043581118258,91.90378725494506,211.4,82.8,30.9,1,High
Shillong,25.611267931245983,91.86256104079948,60.3,58.8,36.5,0,Moderate
Shillong,25.56772823516584,91.9046796615837,138.5,59.9,58.1,3,High
Shillong,25.57946917541985,91.88086363398988,324.8,47.8,31.8,1,High
Shillong,25.617730856750295,91.88809002876123,186.7,65.0,44.2,2,High
Shillong,25.58042553685534,91.92496930050768,342.6,67.7,38.1,2,High
Shillong,25.5816343382728,91.93968659079962,88.5,74.1,42.4,3,Moderate
Shillong,25.56100507796427,91.87921424583617,151.5,54.7,40.4,3,Moderate
Shillong,25.595569815489036,91.89493658717095,93.6,39.0,41.6,3,Moderate
Shillong,25.57173967886549,91.87256848167287,104.9,67.8,42.3,1,Moderate
Shillong,25.589956206127038,91.89350705239687,272.1,74.0,41.3,3,High
Shillong,25.579879768368915,91.85725182185011,32.8,56.5,29.6,1,Low
Shillong,25.608614522737,91.89627334914404,65.5,49.7,36.3,3,Moderate
Shillong,25.56624143026492,91.8936137342759,86.2,54.2,34.2,1,Moderate
Shillong,25.574304691962148,91.86989773947882,60.6,66.2,47.0,3,Moderate
Shillong,25.526979154157104,91.88237511103495,17.3,71.5,43.6,0,Moderate
Shillong,25.57799822974687,91.91666435443634,151.3,49.1,37.3,3,Moderate
Shillong,25.57066553833907,91.89153314681981,53.2,44.5,24.6,6,Low
Shillong,25.58005370793774,91.89507293394796,215.0,69.9,39.9,2,Moderate
Shillong,25.559367719229787,91.91730827815888,341.7,56.6,39.0,1,High
Shillong,25.56366409822861,91.86486378666515,64.9,55.6,34.0,2,Moderate
Shillong,25.61478543150038,91.9082160250212,302.8,64.4,30.1,3,High
Shillong,25.55673583268557,91.88887492752828,173.8,56.6,30.8,3,High
Shillong,25.593497555720997,91.90655762537334,90.7,44.9,44.8,6,Moderate
Cherrapunji,25.286972862124163,91.689427666365,280.2,70.9,42.7,2,High
Cherrapunji,25.318004573178307,91.68755243610019,193.3,72.9,48.3,5,High
Cherrapunji,25.287804341913613,91.69731965666655,179.6,64.5,35.7,5,High
Cherrapunji,25.29200727628771,91.70449369451504,128.1,49.6,33.6,4,Moderate
Cherrapunji,25.325251682068544,91.68896283708216,242.0,87.2,36.5,0,Moderate
Cherrapunji,25.299932510851782,91.6965963075495,580.0,68.5,37.0,6,Severe
Cherrapunji,25.29729514208736,91.70960119160173,87.2,78.4,48.0,3,Moderate
Cherrapunji,25.321774972394085,91.7376917261187,34.4,54.7,57.3,3,Moderate
Cherrapunji,25.264631212688744,91.7064633542837,346.4,50.1,33.1,0,High
Cherrapunji,25.29243091896307,91.64257434674086,112.7,79.4,40.9,5,Moderate
Cherrapunji,25.29592652499646,91.68244034826488,111.5,59.8,46.3,5,Moderate
Cherrapunji,25.29971960923485,91.7020328857538,61.6,56.9,35.1,3,Moderate
Cherrapunji,25.30174662115831,91.71404813138302,44.9,75.8,40.2,0,Moderate
Cherrapunji,25.348295819973174,91.70159986761118,136.4,48.2,38.3,4,Moderate
Cherrapunji,25.303046310271533,91.70758964114331,164.0,58.2,36.0,4,Moderate
Cherrapunji,25.341149909394236,91.7004158741535,400.5,54.1,19.1,5,High
Cherrapunji,25.28463270105372,91.6710774393488,67.8,59.2,42.0,3,Moderate
Cherrapunji,25.285282831013543,91.70166694141987,136.2,63.5,30.0,2,Moderate
Cherrapunji,25.28663711828922,91.73746595552436,234.3,70.6,36.5,5,High
Cherrapunji,25.29192703073516,91.68089754841301,264.9,76.2,41.0,4,High
Cherrapunji,25.3197145999136,91.7237477210313,172.9,58.2,44.1,8,High
Cherrapunji,25.25519900202961,91.69003275215616,588.5,57.3,47.3,7,Severe
Cherrapunji,25.28155179631003,91.7323075137894,251.2,77.1,46.9,1,High
Cherrapunji,25.277572387238504,91.69195866510967,97.6,48.8,52.5,5,Moderate
Cherrapunji,25.303591635638792,91.70701260198547,185.4,77.5,31.7,3,High
Cherrapunji,25.297592376720928,91.65654660907973,181.0,52.5,49.2,4,High
Cherrapunji,25.315011737076716,91.7039195006773,229.3,64.7,35.0,3,Moderate
Cherrapunji,25.336763673535902,91.69553068035256,160.4,55.8,51.2,3,Moderate
Cherrapunji,25.33421226745164,91.69791101562926,95.4,44.4,40.1,4,Moderate
Cherrapunji,25.304767379654695,91.71950395259564,110.8,68.0,38.8,4,Moderate
Cherrapunji,25.277738911458727,91.72443601105037,182.5,74.8,64.0,5,Severe
Cherrapunji,25.302866783352126,91.72958157946812,387.6,67.9,29.7,2,High
Cherrapunji,25.286151580402525,91.67187365072657,196.6,59.5,44.1,3,Moderate
Cherrapunji,25.28844939812985,91.70960292272446,118.7,56.3,37.1,1,Moderate
Cherrapunji,25.256755615581646,91.69962883988468,627.9,65.1,47.9,2,Severe
Cherrapunji,25.30293586023971,91.73224441256511,264.3,58.5,30.4,5,High
Cherrapunji,25.301537037659177,91.69550288036385,236.6,57.0,24.8,2,Moderate
Cherrapunji,25.30466432262527,91.71906273267827,73.0,81.7,51.8,2,Moderate
Cherrapunji,25.28708861142703,91.75356219747277,157.0,67.7,36.5,1,Moderate
Cherrapunji,25.286587595818467,91.72784930600129,84.7,68.9,34.3,7,Moderate
Cherrapunji,25.275710814384947,91.68071191490777,103.7,45.2,37.0,5,Moderate
Cherrapunji,25.283882598670075,91.71929703266196,89.0,82.7,53.7,1,Moderate
Cherrapunji,25.30012844539622,91.69127228218947,360.5,89.7,38.8,2,Severe
Cherrapunji,25.331972943410094,91.71121838895883,116.2,53.8,39.6,0,Moderate
Cherrapunji,25.25922077445989,91.70366600424211,99.8,65.9,44.3,7,Moderate
Cherrapunji,25.29055818844606,91.66041400379248,42.6,74.7,46.5,3,Moderate
Cherrapunji,25.2744833582686,91.69939711460958,215.1,64.9,33.6,7,High
Cherrapunji,25.31746338861387,91.6975076440762,78.7,70.0,46.2,4,Moderate
Cherrapunji,25.327488761863417,91.65728651572043,42.9,80.5,42.1,3,Moderate
Cherrapunji,25.322675401937342,91.71187113444562,751.3,81.3,39.8,4,Severe
Cherrapunji,25.319062500907524,91.71026170840194,432.1,64.1,36.3,3,Severe
Cherrapunji,25.283595173411026,91.6995194428384,212.0,73.2,45.9,5,High
Cherrapunji,25.300024109507245,91.68365822737864,24.3,47.4,36.2,5,Low
Cherrapunji,25.316589496838635,91.69612347722455,203.0,78.3,41.2,2,Moderate
Cherrapunji,25.300159285652946,91.72007419047621,102.4,43.0,43.1,3,Moderate
Cherrapunji,25.285223942625397,91.7177983266513,485.3,51.5,44.2,6,Severe
Cherrapunji,25.28747619935557,91.70030757962745,18.5,66.7,38.3,2,Moderate
Cherrapunji,25.31457369594434,91.69023606005535,245.4,54.6,49.1,2,High
Cherrapunji,25.251223656834473,91.69731441675627,256.6,59.0,49.3,3,High
Cherrapunji,25.312315422995425,91.72407768874338,323.8,78.1,46.7,6,High
Cherrapunji,25.324702436438972,91.69359816038111,113.5,61.6,19.8,3,Moderate
Cherrapunji,25.30752819052195,91.68195896891285,91.6,72.8,50.8,3,Moderate
Cherrapunji,25.265123037667344,91.70238036812108,59.1,80.5,54.9,3,Moderate
Cherrapunji,25.310761234403635,91.6991663839522,28.2,53.4,40.7,4,Low
Cherrapunji,25.313457224719336,91.71183628267482,445.7,69.6,48.2,3,Severe
Cherrapunji,25.31977338338716,91.67297108470217,95.0,60.1,50.3,3,Moderate
Cherrapunji,25.29793490479702,91.66713622377692,204.5,75.1,29.7,1,Moderate
Cherrapunji,25.292496072393522,91.69364569806488,110.2,86.9,46.8,2,Moderate
Cherrapunji,25.295319602817862,91.70932716748894,298.6,73.7,45.1,4,High
Cherrapunji,25.316830566840796,91.68764726781212,250.3,66.1,33.8,5,High
Cherrapunji,25.268037512962326,91.70924345332165,485.4,44.3,31.1,5,Severe
Cherrapunji,25.336086962195736,91.69618192416546,447.2,50.6,43.8,8,Severe
Cherrapunji,25.274991845320606,91.71209030652712,211.2,51.5,44.4,2,Moderate
Cherrapunji,25.284076585906124,91.70677987370618,234.5,61.6,41.3,1,Moderate
Cherrapunji,25.260597923645765,91.71785194676599,65.9,48.2,37.3,7,Moderate
Cherrapunji,25.30427807736403,91.69621172658037,41.1,75.8,30.3,1,Moderate
Cherrapunji,25.29278217161151,91.63057140216124,27.7,90.8,55.4,6,Moderate
Cherrapunji,25.247915722867457,91.70397896293593,171.2,51.1,49.6,1,Moderate
Cherrapunji,25.28991640337985,91.69836954653798,174.5,71.9,50.8,4,High
Cherrapunji,25.278255081222746,91.6782834974223,163.9,61.2,48.0,2,Moderate
Cherrapunji,25.31566781018565,91.69496922227911,205.7,53.2,40.5,4,High
Cherrapunji,25.313009001850723,91.66993839396481,76.6,84.1,37.7,6,Moderate
Cherrapunji,25.31331848504109,91.70843173221229,260.5,55.0,42.8,8,High
Cherrapunji,25.313910755151316,91.71698204221487,228.1,59.6,32.1,8,Moderate
Cherrapunji,25.336384463665993,91.7007987279443,100.0,66.1,42.0,5,Moderate
Cherrapunji,25.27765717346247,91.67975810228405,104.7,70.2,25.3,2,Moderate
Cherrapunji,25.292614457215077,91.70286776934685,167.3,76.7,48.0,3,Moderate
Cherrapunji,25.28592690900867,91.71863959509919,20.1,71.9,52.5,3,Moderate
Cherrapunji,25.291730696777535,91.70520561013166,400.9,59.1,41.3,5,Severe
Cherrapunji,25.26307624275524,91.68140978279615,53.7,55.5,31.9,4,Moderate
Cherrapunji,25.289066398308254,91.69456689779348,29.3,59.2,28.5,4,Low
Cherrapunji,25.31102952550479,91.70681178432801,372.0,83.1,52.0,4,Severe
Cherrapunji,25.269377849948885,91.71028509512035,169.0,51.1,35.6,0,Moderate
Cherrapunji,25.28271217858172,91.69718144171445,191.5,66.3,39.4,3,High
Cherrapunji,25.33499167808411,91.72762908157381,160.3,69.3,39.0,1,Moderate
Cherrapunji,25.284324686688272,91.68618917895368,37.5,75.3,45.4,0,Moderate
Cherrapunji,25.30999370220606,91.70944004541839,56.4,57.0,56.1,4,Moderate
Cherrapunji,25.31366657985622,91.69581372360841,134.3,75.9,53.8,2,High
Cherrapunji,25.267692670974466,91.65928938314364,263.8,95.4,49.0,5,High
Cherrapunji,25.30050776841085,91.66160653687605,187.2,69.2,38.1,1,High
Cherrapunji,25.310854087959534,91.67922280420427,125.3,58.7,44.5,3,Moderate
Cherrapunji,25.27297851267584,91.67355084086513,140.5,69.0,39.8,3,Moderate
Cherrapunji,25.30350422837817,91.75970518005207,180.1,73.6,33.3,4,Moderate
Cherrapunji,25.311110252926845,91.68162626977028,166.3,63.2,43.9,4,Moderate
Cherrapunji,25.29437960705457,91.70849932232495,90.0,63.5,43.4,1,Moderate
Cherrapunji,25.272447649984915,91.68870451991658,64.5,63.5,61.9,1,Moderate
Cherrapunji,25.30655642345686,91.71848540279076,255.6,92.1,53.2,4,High
Cherrapunji,25.317169022333132,91.69530758860085,51.0,68.0,39.8,2,Moderate
Cherrapunji,25.305612728089802,91.73517240968391,130.5,49.6,42.1,4,Moderate
Cherrapunji,25.296308306735096,91.68603608933817,166.8,71.7,25.8,5,Moderate
Cherrapunji,25.28729275222349,91.67620666681819,101.5,78.3,37.6,5,Moderate
Cherrapunji,25.31303043982679,91.67724628659151,74.8,64.8,56.6,2,Moderate
Cherrapunji,25.315022616956117,91.7124814283024,107.9,66.9,44.6,3,Moderate
Cherrapunji,25.303945845312626,91.70622617346886,44.3,67.7,53.7,3,Moderate
Cherrapunji,25.287393750414942,91.67983889045776,377.4,79.9,57.4,3,Severe
Cherrapunji,25.281844876397063,91.73038567847284,65.9,58.8,42.6,1,Moderate
Cherrapunji,25.311944564365067,91.68103303991552,183.7,79.4,49.9,4,High
Cherrapunji,25.281011513465486,91.72869469959329,177.8,50.6,50.9,3,High
Cherrapunji,25.313582855508766,91.69395909001021,86.7,66.2,45.3,1,Moderate
Cherrapunji,25.31513577359974,91.71224937588028,97.0,75.8,38.7,2,Moderate
Cherrapunji,25.32669806495687,91.71259499756798,50.8,64.1,52.2,3,Moderate
Cherrapunji,25.314072832315865,91.70318317890664,263.6,91.2,44.5,6,Severe
Cherrapunji,25.3237903008533,91.72342241262068,107.5,73.7,47.5,2,Moderate
Cherrapunji,25.324617490263094,91.73370028557417,189.7,65.1,58.2,3,High
Cherrapunji,25.310461580080048,91.72661734360734,190.3,56.4,50.1,1,High
Cherrapunji,25.307726466356232,91.69591057558029,229.2,73.0,42.8,3,High
Cherrapunji,25.282088878129073,91.71992017318777,388.8,85.9,36.0,7,Severe
Cherrapunji,25.296464516737686,91.66902763402273,157.2,67.9,38.4,5,Moderate
Cherrapunji,25.29236951721617,91.68839712696995,84.3,63.6,28.9,3,Moderate
Cherrapunji,25.299371216592505,91.68303142731618,314.1,53.3,47.3,3,High
Cherrapunji,25.283067075022675,91.69950685438538,191.6,45.6,44.4,3,Moderate
Cherrapunji,25.324477063971475,91.70273643659343,17.1,62.3,41.6,6,Moderate
Cherrapunji,25.331257775370165,91.69452013836342,42.4,61.0,42.1,5,Moderate
Cherrapunji,25.329538688522366,91.67664440897464,104.3,63.4,44.6,4,Moderate
Cherrapunji,25.292999630908177,91.68007900427996,149.1,53.8,35.2,5,Moderate
Cherrapunji,25.308172146154035,91.69384383057722,81.3,81.3,51.9,3,Moderate
Cherrapunji,25.299378821342582,91.68180633166037,60.9,56.4,44.9,4,Moderate
Cherrapunji,25.33878385138199,91.67197994323688,55.2,59.0,41.9,3,Moderate
Cherrapunji,25.301126725736243,91.68975708535304,279.9,62.6,43.6,4,High
Cherrapunji,25.288603341435227,91.70659017471147,284.6,64.4,42.1,1,High
Cherrapunji,25.313710154775805,91.73697217666593,28.5,76.0,52.3,4,Moderate
Cherrapunji,25.301835049688968,91.70504480792853,110.2,75.0,54.8,2,Moderate
Cherrapunji,25.319825173163842,91.7207675530953,115.6,69.6,33.1,7,Moderate
Cherrapunji,25.278091981939816,91.70596783693134,47.1,51.6,29.4,4,Low
Cherrapunji,25.281021669583502,91.73494726395832,121.3,72.8,41.0,7,Moderate
Cherrapunji,25.283277860082407,91.66230427281968,241.9,64.2,40.3,3,High
Cherrapunji,25.318227254443496,91.70211507582543,150.5,87.6,27.2,3,Moderate
Cherrapunji,25.309334324680105,91.71012733955052,295.5,56.8,57.8,3,Severe
Cherrapunji,25.280961630799556,91.70154961037038,144.9,56.1,54.6,1,Moderate
Cherrapunji,25.30259000902016,91.6939673223293,153.7,52.1,42.0,1,Moderate
Aizawl,23.750171268573197,92.70722784041939,26.9,61.2,43.9,4,Low
Aizawl,23.689705166006092,92.70982958449635,45.1,56.4,27.8,5,Low
Aizawl,23.720249015982844,92.72100927541993,138.6,69.4,39.8,4,Moderate
Aizawl,23.683394063053303,92.74047673452841,50.9,61.5,41.4,1,Moderate
Aizawl,23.761798731516738,92.70046455812347,161.5,69.1,29.0,1,Moderate
Aizawl,23.70310280555641,92.71175489569113,75.4,66.5,37.0,1,Moderate
Aizawl,23.731146575928456,92.75023713798178,134.8,76.2,54.0,7,High
Aizawl,23.725968230222,92.74197941579588,63.9,85.8,37.6,6,Moderate
Aizawl,23.757252671178275,92.70375695575846,14.7,65.7,38.2,1,Moderate
Aizawl,23.76008961788648,92.7390122111996,287.3,49.9,39.0,3,High
Aizawl,23.703864323121753,92.71193722206513,64.2,68.3,43.5,2,Moderate
Aizawl,23.74807414252833,92.75070814226177,94.2,49.5,33.3,0,Moderate
Aizawl,23.7287696225104,92.70720049823186,80.4,56.7,37.0,3,Moderate
Aizawl,23.706709875952317,92.73628855566463,89.6,63.0,39.3,4,Moderate
Aizawl,23.724886692628854,92.6996671554537,98.9,73.4,39.2,3,Moderate
Aizawl,23.68845665674948,92.7040903764592,216.5,59.6,45.4,1,Moderate
Aizawl,23.710972746057273,92.6906883319979,194.1,35.6,50.6,2,Moderate
Aizawl,23.707055659621467,92.70255129525295,357.2,53.6,39.2,3,High
Aizawl,23.755128580045323,92.69476656356521,28.8,58.0,44.1,3,Moderate
Aizawl,23.69037856024995,92.70191018713516,88.3,61.5,47.1,4,Moderate
Aizawl,23.708053672385223,92.70406009723084,260.9,66.5,41.5,3,High
Aizawl,23.712393930786362,92.73202958647515,61.6,74.0,36.4,6,Moderate
Aizawl,23.748557734859858,92.72410873718869,46.5,73.1,33.5,1,Moderate
Aizawl,23.72338765064164,92.71116587564357,95.3,38.6,36.7,0,Low
Aizawl,23.73079420949562,92.73635831075022,127.2,60.7,29.8,3,Moderate
Aizawl,23.707146508545186,92.73833293658839,121.2,98.4,41.6,3,Moderate
Aizawl,23.709478633266773,92.70335558472702,397.7,66.9,45.1,3,Severe
Aizawl,23.73172891845051,92.73052979075452,267.6,81.2,49.3,2,High
Aizawl,23.708774517988726,92.74470885602211,101.0,53.5,37.0,0,Moderate
Aizawl,23.695870135551164,92.74766839656859,264.9,65.6,44.9,2,Severe
Aizawl,23.760627860544165,92.69868986240115,91.9,61.5,39.7,6,Moderate
Aizawl,23.768820940990743,92.69730481013629,41.6,77.6,32.7,8,Moderate
Aizawl,23.73102262918048,92.69951863420529,89.4,69.0,60.4,2,Moderate
Aizawl,23.758896779563614,92.72908142441788,25.9,67.1,55.8,4,Moderate
Aizawl,23.719616394480198,92.71448868610956,302.8,47.9,44.8,3,High
Aizawl,23.73146050184265,92.69802371507838,206.2,76.1,32.3,4,High
Aizawl,23.708544317818784,92.71281246296982,112.0,68.1,40.6,4,Moderate
Aizawl,23.735109627730125,92.72022130372432,101.2,75.5,34.3,1,Moderate
Aizawl,23.73721931106912,92.70303455595187,112.9,49.7,25.6,2,Moderate
Aizawl,23.744332722489958,92.72038120797308,454.7,78.3,25.2,2,Severe
Aizawl,23.75114955495306,92.72394293969421,25.0,54.4,38.2,3,Low
Aizawl,23.73829154123021,92.70132939301268,115.8,54.0,43.9,2,Moderate
Aizawl,23.715301814042686,92.73448566456196,110.8,58.1,45.5,4,Moderate
